word	dim1	dim2	cluster
set	-0.515670120716095	7.4654412269592285	2
site	1.1870814561843872	6.6041059494018555	4
After	-1.6015654802322388	7.336176872253418	5
music	1.5307639837265015	5.994600772857666	6
series	0.3004136383533478	7.106053829193115	1
writing	-0.03145934268832207	6.649201393127441	1
issue	-0.6348258256912231	7.853283882141113	2
film	0.43850061297416687	7.592187881469727	1
issues	-0.9499551653862	8.349384307861328	2
cover	-0.6235719323158264	7.720577239990234	2
drive	1.9402052164077759	7.796849727630615	2
First	-1.2480802536010742	7.131420612335205	5
began	-1.838020920753479	8.1901216506958	2
summer	-1.0869334936141968	5.935375213623047	6
girl	1.736774206161499	9.953536033630371	0
period	-1.85856294631958	5.648742198944092	2
London	5.580996990203857	7.111791133880615	5
became	-1.861334204673767	8.260557174682617	2
network	1.5373821258544922	6.7393083572387695	4
track	1.4486140012741089	5.883724689483643	6
April	-1.2404193878173828	5.815863132476807	5
weekend	-0.9777891635894775	6.016381740570068	6
hot	-0.3806301951408386	9.861957550048828	0
band	1.9085607528686523	5.3584208488464355	6
policy	-0.04317816346883774	8.329731941223145	2
June	-1.243483543395996	5.801431179046631	5
2005	-1.7196489572525024	5.539450645446777	5
internet	1.1541500091552734	6.576427459716797	4
July	-1.2223405838012695	5.825107097625732	5
Internet	1.2917990684509277	6.6455841064453125	4
sites	1.3212860822677612	6.757297039031982	4
college	2.8979151248931885	9.010529518127441	6
scene	0.1970675140619278	7.657492637634277	1
led	-1.8052383661270142	8.551970481872559	2
setting	-0.5428237915039062	7.499840259552002	2
Facebook	0.8389956951141357	6.419410705566406	4
August	-1.247389554977417	5.797590732574463	5
sex	1.2838644981384277	10.421894073486328	0
target	-0.09166861325502396	8.969947814941406	2
driving	1.9193661212921143	7.781595706939697	2
spring	-1.1613582372665405	5.877486705780029	6
club	2.939605712890625	8.714784622192383	6
Review	-0.6369113922119141	7.0234293937683105	5
competition	0.7396835088729858	8.596961975097656	2
pressure	-1.1626232862472534	9.244462013244629	2
writer	-0.0718204453587532	6.718642234802246	1
Share	-0.5550109148025513	6.919901371002197	5
influence	-0.5576834678649902	8.55848503112793	2
discovered	-1.6090556383132935	8.053773880004883	2
battle	0.5572877526283264	8.84163761138916	2
volume	-0.35768112540245056	7.639710903167725	2
session	0.9101491570472717	5.809048175811768	6
traffic	1.7005658149719238	7.316612720489502	4
Twitter	0.7573528289794922	6.370634078979492	4
rock	1.346978783607483	8.637770652770996	6
rise	-0.7944886684417725	8.634143829345703	2
North	4.887072563171387	7.239392280578613	5
posting	0.6582100987434387	6.282451629638672	4
profile	0.5471826195716858	6.892401695251465	4
caught	-0.10091274976730347	9.632558822631836	2
trouble	-1.5604671239852905	9.256746292114258	2
opinion	-0.47495540976524353	8.011069297790527	2
College	2.8489937782287598	8.702545166015625	5
interview	-0.2881815731525421	6.4939141273498535	4
covers	-0.8454203009605408	7.643940448760986	2
shooting	0.3487464487552643	8.29271411895752	2
drugs	1.01663339138031	11.839643478393555	6
Paris	5.576963424682617	6.803076267242432	5
radio	1.6759538650512695	6.3014912605285645	4
channel	1.7838865518569946	6.606042385101318	4
initial	-1.5580849647521973	7.395365238189697	2
violence	-0.4353300929069519	10.779793739318848	1
crime	-0.3201502561569214	10.997608184814453	1
drug	0.9822686314582825	11.843289375305176	6
identify	-1.133348822593689	7.762502670288086	2
ended	-1.8217028379440308	8.401737213134766	2
magazine	-0.3215331435203552	7.757338523864746	6
Set	-0.571745753288269	7.317437171936035	5
feedback	0.2411956936120987	6.307758808135986	4
drivers	2.1176974773406982	7.668114185333252	6
caused	-1.6943554878234863	8.812439918518066	2
charges	-0.6867741346359253	11.177196502685547	2
dangerous	-1.384606957435608	10.159777641296387	2
debt	-0.6094744801521301	10.007994651794434	2
youth	2.51713490486145	9.503143310546875	6
Team	2.904348134994507	8.484618186950684	5
launched	-1.6369328498840332	8.13855266571045	2
attempt	-1.8598779439926147	8.920763969421387	2
forces	-1.0242451429367065	9.354522705078125	2
chapter	0.17109714448451996	7.041351318359375	1
scenes	0.25374922156333923	7.448976993560791	1
struggle	-1.664272427558899	9.151076316833496	2
plot	0.1691100001335144	7.29750919342041	1
hopes	-1.6561232805252075	9.272082328796387	2
High	1.5482820272445679	8.511550903320312	5
causing	-1.5079841613769531	9.015420913696289	2
pop	0.37822890281677246	9.005631446838379	6
Second	-1.2392905950546265	7.124819755554199	5
contest	0.8961983323097229	8.613511085510254	6
Summer	-1.0401887893676758	5.97213888168335	5
wild	-1.3750112056732178	10.214316368103027	2
listening	1.4468982219696045	6.050866603851318	4
string	2.47865891456604	6.422814846038818	6
mass	-0.702703058719635	8.815171241760254	2
alcohol	0.8296731114387512	11.899054527282715	6
murder	-0.2928328812122345	11.045963287353516	1
Sam	7.182861328125	7.843403339385986	3
deals	-0.4111148416996002	8.348048210144043	2
Martin	7.107439041137695	6.284374237060547	3
1999	-1.7921808958053589	5.560842990875244	5
tone	-0.4244915246963501	7.738099575042725	2
Seattle	5.2247138023376465	7.39661169052124	5
fuck	1.4934784173965454	10.445813179016113	0
gay	1.0255274772644043	10.517362594604492	0
acts	-0.4513469636440277	10.80286979675293	2
charged	-0.6696986556053162	11.158543586730957	2
Ryan	7.531130313873291	7.391320705413818	3
Author	-0.466625452041626	6.81675386428833	5
drinking	0.8013964891433716	11.857748031616211	6
Toronto	5.444009304046631	7.535472869873047	5
fucking	1.5584810972213745	10.543868064880371	0
drama	0.3481285870075226	7.768414497375488	1
Young	2.514622449874878	9.237297058105469	5
strike	-0.2463339865207672	9.154847145080566	2
exploring	-1.4987086057662964	7.906158924102783	2
brief	-1.5702499151229858	7.318613529205322	2
gym	2.966524124145508	8.43993854522705	6
concert	1.7788902521133423	5.4057841300964355	6
hitting	-0.23396694660186768	9.070635795593262	2
Rock	1.6956745386123657	8.440710067749023	5
mood	-0.33932945132255554	7.9354071617126465	2
guitar	2.209832191467285	5.637692451477051	6
studying	-1.4047985076904297	7.807203769683838	2
wave	-0.7047123908996582	8.669248580932617	2
Queen	5.324003219604492	8.096449851989746	5
discovery	-1.4992825984954834	8.065242767333984	2
sessions	1.0149250030517578	5.832503318786621	6
ass	1.616171956062317	10.532413482666016	0
storm	-0.4310663938522339	9.030349731445312	2
extreme	-1.5092984437942505	10.030706405639648	2
bands	1.878172755241394	5.398934364318848	6
flash	0.7347272038459778	9.281904220581055	2
initially	-1.883320689201355	7.7182936668396	2
drives	1.8535354137420654	7.798276424407959	2
quotes	0.3560344874858856	6.636196613311768	2
1997	-1.8521398305892944	5.557361125946045	5
interviews	-0.10333389788866043	6.659450531005859	4
lyrics	1.674237847328186	5.783667087554932	6
garage	2.5001614093780518	7.597555637359619	6
Model	1.851590633392334	8.761198043823242	5
anger	-0.9472339153289795	9.973061561584473	2
Nick	7.381702899932861	7.386249542236328	3
frequency	-0.6255266070365906	8.249635696411133	2
crash	-0.7307380437850952	9.258784294128418	2
Jason	7.474701881408691	7.373117923736572	3
Sydney	5.555944919586182	7.415538787841797	5
York	5.343942165374756	7.434137344360352	5
grew	-1.7836928367614746	8.393890380859375	2
Taylor	6.97389554977417	6.037056922912598	3
YouTube	1.2316564321517944	6.450803279876709	4
driven	1.7425544261932373	7.893178462982178	2
trends	-0.3692163825035095	8.206473350524902	2
Jordan	6.799191474914551	7.231295108795166	3
editing	0.13555601239204407	6.538080215454102	4
gained	-1.6551754474639893	8.42463493347168	2
genre	0.8331546783447266	7.325318813323975	1
Girl	2.1232423782348633	9.014333724975586	5
Victoria	5.906983852386475	8.010100364685059	3
Writing	-0.14261461794376373	6.685513973236084	1
clubs	2.745417833328247	8.804953575134277	6
drove	1.6044377088546753	8.017607688903809	2
dialogue	0.07260320335626602	7.332090854644775	1
Drive	2.1348724365234375	7.784229278564453	5
circuit	2.3503077030181885	6.244206428527832	6
contacts	0.5156682729721069	6.914973258972168	4
Future	1.9296318292617798	8.690010070800781	5
attempts	-1.9038426876068115	8.914375305175781	2
Amy	7.202460289001465	8.48381233215332	3
romance	0.460642009973526	7.665650367736816	1
encounter	-1.3845025300979614	8.49547290802002	2
pricing	-0.05988452956080437	8.303070068359375	2
essay	0.02715481072664261	6.646301746368408	1
struggling	-1.731634259223938	9.1250581741333	2
sexual	0.9351603388786316	10.55986213684082	0
Wilson	6.992569446563721	5.770025730133057	3
intense	-1.4177881479263306	10.050874710083008	2
crack	0.09690134972333908	9.620837211608887	2
singer	1.8324593305587769	5.54767370223999	6
arrested	-0.5012209415435791	11.298396110534668	2
smoking	0.8777057528495789	12.023130416870117	6
virus	-0.6592264175415039	10.252520561218262	2
Dean	7.156340599060059	7.744968891143799	3
Girls	2.1927783489227295	9.115472793579102	5
Hot	1.3773773908615112	8.596341133117676	5
Ontario	5.437703609466553	7.529924392700195	5
makeup	1.479743242263794	9.479581832885742	6
teens	2.513896942138672	9.57681655883789	6
Rachel	7.210908889770508	8.44107437133789	3
Rob	7.326513290405273	7.437277793884277	3
bass	2.188936471939087	5.723113536834717	6
solo	1.8220843076705933	5.379453659057617	6
struck	-0.32237526774406433	9.082576751708984	2
Columbia	5.248015880584717	7.208462238311768	5
teen	2.5312042236328125	9.61530590057373	6
Beauty	1.7393425703048706	9.134322166442871	5
confusion	-1.5126962661743164	9.4330472946167	2
overnight	-0.36338597536087036	9.619879722595215	2
Policy	1.068013310432434	8.133787155151367	5
Instagram	0.8682056665420532	6.32123327255249	4
debut	-0.724669337272644	7.230660438537598	6
League	3.1621124744415283	8.759713172912598	5
Lewis	6.925396919250488	5.863185882568359	3
Edward	6.876822471618652	7.9101362228393555	3
Anonymous	0.17106013000011444	10.413924217224121	5
threats	-0.6033539175987244	10.479498863220215	2
identifying	-1.2158112525939941	7.699191570281982	2
arrest	-0.5626342296600342	11.225083351135254	2
killer	-0.19119250774383545	10.487281799316406	2
texts	0.5040776133537292	6.634045124053955	4
popularity	-0.9557173848152161	8.655482292175293	2
tension	-1.2780059576034546	9.276922225952148	2
jeans	2.005030393600464	10.662440299987793	0
downloaded	1.089460015296936	6.048612594604492	4
violent	-1.2509270906448364	10.353654861450195	2
porn	1.2980365753173828	10.396537780761719	0
D.C.	5.203773021697998	7.388606548309326	5
Latin	5.155158519744873	6.859898090362549	5
naked	1.761918544769287	10.313752174377441	0
desperate	-1.6069458723068237	9.664817810058594	2
novels	0.40648353099823	7.115704536437988	1
Student	2.5333313941955566	8.636013984680176	5
Pink	2.2099609375	9.059704780578613	5
attempted	-1.918197751045227	8.73930549621582	2
charts	-0.40245336294174194	8.21668815612793	2
Poland	5.516726493835449	6.654909610748291	5
cock	1.533636450767517	10.540284156799316	0
Grant	7.203738689422607	6.016425132751465	3
frustration	-1.3683569431304932	9.569892883300781	2
struggles	-1.6145159006118774	9.08593463897705	2
Tech	2.775792360305786	8.015633583068848	5
Jessica	6.960966110229492	8.476055145263672	3
profiles	0.5836300849914551	6.899625301361084	4
controversial	-1.690429925918579	10.002985954284668	2
girlfriend	1.640589952468872	10.106111526489258	0
Justin	7.4656596183776855	7.308030128479004	3
Angel	5.267922401428223	8.481313705444336	3
Clark	7.007086753845215	5.789462089538574	3
Oxford	5.594832897186279	7.194594383239746	5
Morgan	7.05769681930542	6.257772445678711	3
Aaron	7.419437885284424	7.490751266479492	3
Hamilton	6.733970642089844	6.076906681060791	3
GPS	2.414379358291626	7.228691101074219	4
boyfriend	1.7807799577713013	10.009841918945312	0
isolated	-1.2824488878250122	9.86860179901123	2
Third	-1.2469875812530518	7.13403844833374	5
confusing	-1.6847001314163208	9.706513404846191	2
squad	3.0725924968719482	8.769441604614258	6
acid	0.740236222743988	11.721631050109863	6
prospects	0.07363266497850418	7.7887492179870605	2
Chelsea	6.633694171905518	8.153081893920898	3
Caribbean	5.131940841674805	7.025752544403076	5
Nashville	5.1926589012146	7.492007732391357	5
chemistry	0.4750826358795166	7.7766032218933105	6
junior	3.020932912826538	9.09406566619873	6
terrorism	-0.28027546405792236	10.893645286560059	1
Dublin	5.614186763763428	6.912782192230225	5
Avenue	3.5763401985168457	7.302999496459961	5
Movies	0.8366883993148804	7.721997261047363	1
chapters	0.20570074021816254	6.994504451751709	1
Lane	3.849295139312744	7.125677585601807	3
Bell	6.998082160949707	5.776137351989746	3
gang	-0.1885758489370346	11.035408973693848	6
Guy	7.376518726348877	7.345430374145508	3
Mississippi	5.347641944885254	7.2621283531188965	5
scholarship	2.886554002761841	9.01632022857666	6
Ross	6.860069274902344	5.866782188415527	3
briefly	-1.8718233108520508	7.737058639526367	2
shorts	2.0112459659576416	10.690085411071777	6
Battle	0.6921042203903198	8.7087984085083	5
Madison	6.7217278480529785	6.429781913757324	3
dynamics	-0.43683770298957825	8.49538803100586	2
Youth	2.455296039581299	9.202433586120605	5
encountered	-1.534620761871338	8.411788940429688	2
Montreal	5.379318714141846	7.407026290893555	5
suicide	-0.3086305260658264	10.92790412902832	2
Israeli	5.450664520263672	6.6519012451171875	5
taxi	2.257866859436035	7.660242080688477	6
nail	0.6101033687591553	9.47640609741211	2
Sean	7.498621940612793	7.36361837387085	3
mod	1.9936878681182861	6.19374418258667	6
facebook	0.8346275091171265	6.439209938049316	4
Dawn	7.139562606811523	8.536436080932617	3
tactics	-0.0770685151219368	8.515069007873535	2
passionate	-1.4006584882736206	10.112582206726074	2
heated	-0.7056434750556946	9.86781120300293	2
launching	-1.2373013496398926	8.094593048095703	2
mall	3.228307008743286	7.498879909515381	6
overwhelming	-1.631150245666504	9.75705623626709	2
casting	0.4072571098804474	8.014052391052246	2
1970s	-1.9105818271636963	5.478772163391113	6
strikes	-0.4110791087150574	9.099055290222168	2
Louis	6.750677585601807	7.864815711975098	3
Band	1.9770472049713135	5.354552268981934	5
nails	1.111788272857666	9.467833518981934	6
subsequently	-1.9132461547851562	7.747147083282471	2
battles	0.4967805743217468	8.831337928771973	2
addiction	0.8435521125793457	11.664320945739746	6
surf	1.193277359008789	6.7299065589904785	4
Carter	7.245334148406982	5.981054782867432	3
Boys	2.3060059547424316	9.062408447265625	5
Montana	5.099348545074463	7.241215229034424	5
Ashley	6.76935338973999	8.1748046875	3
1980s	-1.9563169479370117	5.4318671226501465	6
Harris	6.97452449798584	5.79645299911499	3
panic	-1.3034435510635376	9.638666152954102	2
teenagers	2.4873335361480713	9.656342506408691	6
wires	2.525106430053711	6.393955230712891	6
1960s	-1.9177780151367188	5.467860698699951	6
MB	4.738865852355957	7.54296875	5
Northern	4.992700099945068	7.224699020385742	5
pins	2.4526777267456055	6.330661296844482	6
momentum	-0.8871483206748962	8.691553115844727	2
Tyler	7.520514488220215	7.1444549560546875	3
essays	0.07483823597431183	6.682941436767578	1
conviction	-0.7988107800483704	11.145172119140625	2
modeling	1.382246494293213	9.245428085327148	6
underground	2.024517297744751	7.096439838409424	6
assault	-0.6827914118766785	10.882946968078613	2
wasted	-1.6433441638946533	9.657288551330566	2
clips	1.3101873397827148	6.415084362030029	4
Sara	7.139336109161377	8.56273078918457	3
Atlantic	5.006002902984619	7.183614730834961	5
anime	1.028066635131836	7.465398788452148	1
bitch	1.5140804052352905	10.461599349975586	0
downloading	1.0591801404953003	6.134738445281982	4
Rate	-0.5799371004104614	6.9264912605285645	5
twitter	0.743279755115509	6.437331676483154	4
Junior	2.9149837493896484	9.08387279510498	5
Danny	7.493976593017578	7.495723724365234	3
explored	-1.525422215461731	7.982258319854736	2
vocals	1.948453664779663	5.579819202423096	6
pussy	1.595376968383789	10.461008071899414	0
Kennedy	7.2633891105651855	5.891439914703369	3
Marie	6.898316383361816	8.599225997924805	3
nationwide	1.3249074220657349	6.96681022644043	2
Cameron	7.354238986968994	6.69079065322876	3
lit	0.7869617342948914	9.38625717163086	6
Angels	4.997651100158691	8.253954887390137	5
Lawrence	7.0736775398254395	6.0483503341674805	3
Nicole	6.9349589347839355	8.613565444946289	3
Bella	6.852281093597412	8.292092323303223	3
Blues	4.6157612800598145	7.685429096221924	5
Adams	7.034509658813477	5.856955051422119	3
Thompson	7.017807960510254	5.847781658172607	3
tunnel	2.0711967945098877	7.045695781707764	2
Lauren	6.892832279205322	8.354775428771973	3
duo	1.765441656112671	5.462747573852539	6
marijuana	0.9933597445487976	12.00352954864502	6
shy	1.3577194213867188	10.073477745056152	2
trio	1.761597752571106	5.453478813171387	6
rage	-0.9259660243988037	9.935646057128906	2
AA	3.203601121902466	8.963323593139648	6
surveys	-0.11520237475633621	6.908487796783447	2
Dell	3.5140445232391357	7.52032995223999	3
Lebanon	5.616683006286621	6.597269535064697	5
Perry	7.1734466552734375	5.968142032623291	3
Polish	5.382814884185791	6.622357368469238	5
Speed	1.9708665609359741	7.796619415283203	5
startup	-0.894683837890625	7.4596333503723145	6
deadly	-1.1021031141281128	10.142857551574707	2
explores	-1.340407371520996	7.858429431915283	2
gaining	-1.1943024396896362	8.357348442077637	2
excessive	-1.4394258260726929	9.828425407409668	2
downloads	1.1010591983795166	6.082357406616211	4
brutal	-1.386580228805542	10.132431030273438	2
outlet	2.4312918186187744	6.9786224365234375	6
dash	0.5337536334991455	8.993370056152344	6
Claire	6.890606880187988	8.411433219909668	3
bullet	0.2408396154642105	8.582632064819336	2
discovering	-1.523546576499939	7.91663122177124	2
struggled	-1.810226321220398	8.897504806518555	2
Stewart	6.902397155761719	5.792469024658203	3
Broadway	3.752204418182373	7.277836799621582	5
butt	1.7350225448608398	10.58080768585205	0
Summary	-0.7645938396453857	7.083421230316162	5
protests	-0.7306178212165833	10.645302772521973	2
