word	dim1	dim2	cluster
teenage	10.500990867614746	10.25151538848877	9
teen	9.816771507263184	10.736478805541992	7
teenager	9.878678321838379	10.152451515197754	8
teenagers	9.48377513885498	10.675983428955078	0
teens	9.535036087036133	10.602926254272461	0
teenaged	10.622478485107422	10.230484008789062	9
adolescent	10.661352157592773	10.491620063781738	9
pre-teen	10.305069923400879	10.031179428100586	9
pre-teens	9.688117027282715	10.263504028320312	0
preteen	10.462480545043945	11.116216659545898	9
teen-age	10.267061233520508	10.240330696105957	9
teen-aged	10.430970191955566	10.1297025680542	9
pre-adolescent	10.89578628540039	10.30208683013916	9
preteens	9.956808090209961	10.812444686889648	0
adolescence	9.38393783569336	12.858922004699707	4
adolescents	9.964899063110352	11.022513389587402	0
post-teen	11.013978958129883	9.622941017150879	9
hormone-addled	11.570754051208496	9.822829246520996	9
late-teen	10.86277961730957	9.835699081420898	9
pre-teenage	10.5939359664917	10.134276390075684	9
preadolescent	10.961599349975586	10.323131561279297	9
Teenage	9.882411003112793	10.636116027832031	7
teen-ager	9.964716911315918	10.113786697387695	8
Teenagers	9.431865692138672	10.62116527557373	0
adolescences	9.422124862670898	12.858426094055176	4
16-year-old	6.777780055999756	4.788017272949219	8
pubescent	11.061724662780762	10.52931022644043	9
prepubescent	11.03219985961914	10.479211807250977	9
pre-pubescent	11.023039817810059	10.455939292907715	9
14-year-old	6.688265800476074	4.806064128875732	8
hormone-crazed	11.73093318939209	9.786138534545898	9
pre-teenager	10.208451271057129	10.155535697937012	9
early-adolescent	11.065539360046387	10.084967613220215	9
post-adolescent	11.210911750793457	10.135201454162598	9
teenages	9.711894989013672	10.981412887573242	0
17-year-old	6.815809726715088	4.6083478927612305	8
tweens	9.686829566955566	10.093713760375977	0
youth	8.52369213104248	11.306473731994629	0
almost-adult	9.37276840209961	9.044617652893066	9
fourteen-year-old	5.447750091552734	4.855466365814209	8
early-teen	10.722203254699707	10.284655570983887	9
late-adolescent	11.148995399475098	10.118356704711914	9
Teenager	9.640869140625	10.466231346130371	8
tweenage	10.309825897216797	9.686211585998535	9
15-year-old	6.713421821594238	4.768550872802734	8
teenhood	9.264485359191895	13.125085830688477	4
tween-age	10.235189437866211	9.703680038452148	9
post-adolescents	11.402629852294922	10.008493423461914	3
adult	8.864466667175293	10.132800102233887	7
teen-agers	9.735495567321777	10.40792179107666	0
tweenager	10.165406227111816	9.616157531738281	9
teen-	9.560708045959473	10.950652122497559	7
adolecent	10.513747215270996	10.748573303222656	9
teens-	9.36397933959961	10.961731910705566	0
youths	8.643741607666016	11.2340669631958	0
pimply-faced	13.802157402038574	9.767570495605469	1
teen-girl	11.058051109313965	8.60738754272461	7
braces-wearing	13.262316703796387	10.388489723205566	1
teens.It	8.370383262634277	10.812793731689453	0
Teen	9.63337516784668	10.764702796936035	7
Teens	9.411592483520508	10.555397033691406	0
Pre-teens	9.452103614807129	10.558514595031738	0
13-year-old	6.596923828125	4.913503646850586	8
teendom	9.157401084899902	13.18211841583252	4
young-adult	8.863600730895996	9.659902572631836	7
thirteen-year-old	5.460677623748779	4.839151859283447	8
sub-teen	10.626916885375977	10.195943832397461	9
college-age	7.082777500152588	8.873604774475098	3
fifteen-year-old	5.342413425445557	4.803847312927246	8
non-teen	10.631281852722168	9.519271850585938	7
Pre-teen	9.667511940002441	10.522858619689941	7
pre-adolescents	10.066099166870117	10.896916389465332	0
high-schooler	7.655909061431885	6.965206623077393	6
hormone-fueled	11.472208976745605	9.871536254882812	9
young	10.651021957397461	11.174674987792969	9
18-year-old	6.925088882446289	4.493049144744873	8
Teenaged	10.136621475219727	10.550960540771484	9
tween-aged	8.088513374328613	8.75862979888916	9
teenage-hood	9.299463272094727	13.073403358459473	4
teenagery	10.566642761230469	9.112629890441895	7
Adolescent	10.098649024963379	10.88357925415039	7
post-teenage	11.212182998657227	9.913619041442871	9
teenagehood	9.260669708251953	13.093008041381836	4
teenybopper	11.186732292175293	8.626123428344727	9
high-schoolers	7.691784858703613	7.367241382598877	6
12-year-old	6.452752113342285	4.781348705291748	8
middle-schooler	7.645041465759277	6.881678104400635	6
twelve-year-old	5.503579616546631	4.862471103668213	8
teens.	8.97656536102295	11.78554916381836	0
zit-faced	13.627857208251953	9.834763526916504	1
acne-ridden	14.091561317443848	9.705162048339844	1
twentysomething	5.835338592529297	9.692434310913086	3
teenage-boy	11.200267791748047	9.520905494689941	9
pimply	14.070760726928711	9.686988830566406	1
pimple-faced	13.830793380737305	9.738903045654297	1
adolescense	9.368061065673828	12.888349533081055	4
twenty-somethings	4.953084945678711	9.128546714782715	3
high-school-aged	7.476644039154053	8.59953784942627	6
teen.The	8.450799942016602	10.838849067687988	8
teenage-girl	11.02082347869873	8.991377830505371	9
Teen-age	9.923746109008789	10.592966079711914	7
hormone-driven	11.423324584960938	9.94890308380127	9
school-age	7.7885236740112305	8.326905250549316	6
high-school	7.3140082359313965	7.303067207336426	6
sixteen-year-old	5.333892345428467	4.789384841918945	8
high-school-age	7.470615386962891	8.573585510253906	6
post-pubescent	11.137316703796387	10.445910453796387	9
young-adulthood	9.213162422180176	12.955937385559082	4
angst-y	12.003034591674805	8.089300155639648	7
pre-adolescence	9.41438102722168	12.891661643981934	4
college-aged	7.0894341468811035	8.947014808654785	3
middle-school	7.169460296630859	7.208866596221924	6
13-year-olds	4.549519062042236	7.33322286605835	0
adults	8.565510749816895	10.23940658569336	0
post-adolescence	9.332290649414062	12.835883140563965	4
adolecents	9.926653861999512	11.189045906066895	0
early-twenties	6.194566249847412	10.552226066589355	3
teenagers.The	8.373748779296875	10.882437705993652	0
pre-adult	9.613337516784668	12.637786865234375	4
youngster	9.10836124420166	8.274815559387207	8
12-year-olds	4.560779094696045	7.26101541519165	0
14-year-olds	4.488644599914551	7.423100471496582	0
teen.	9.052691459655762	11.807660102844238	9
