word	dim1	dim2	cluster
teenage	8.233116149902344	4.7087578773498535	3
teenagers	8.20926284790039	4.19007682800293	1
teenager	8.090851783752441	4.655817031860352	7
teens	8.293992042541504	5.169523239135742	6
adolescent	8.9596529006958	3.516387462615967	1
teen	8.252645492553711	6.698209762573242	6
teenaged	7.682867050170898	4.673271656036377	7
pre-teen	7.527920246124268	4.585288047790527	7
young	8.457259178161621	4.711668491363525	1
adolescence	9.035808563232422	3.2671163082122803	5
teen-age	7.285422325134277	4.490372180938721	7
adolescents	8.909528732299805	3.492485761642456	1
girls	8.572297096252441	5.768837928771973	6
girl	8.713702201843262	5.6847662925720215	0
younger	8.669090270996094	3.3262221813201904	0
adulthood	8.94884967803955	3.2839791774749756	5
pre-teens	7.586203098297119	4.182736396789551	7
youngsters	8.233036041259766	3.852490186691284	1
boy	8.616190910339355	5.391477108001709	0
boys	8.578509330749512	5.487317085266113	0
youths	8.662900924682617	3.9274532794952393	1
adult	8.94587516784668	6.220131874084473	1
child	8.431855201721191	2.6533446311950684	1
schoolgirl	7.55444860458374	7.549776554107666	4
youngster	8.057575225830078	4.614445209503174	7
16-year-old	5.360337257385254	3.394533395767212	7
adults	8.44631290435791	3.492060422897339	1
underage	7.058297634124756	6.00302791595459	6
15-year-old	5.387108325958252	3.4337351322174072	7
youth	8.596186637878418	3.841287851333618	1
kid	8.187825202941895	3.048886299133301	0
childhood	9.207378387451172	3.0760366916656494	1
14-year-old	5.435562610626221	3.506406784057617	7
high-school	7.195512771606445	3.377525568008423	7
lesbian	8.960538864135742	7.398587226867676	6
prepubescent	7.395737171173096	4.682720184326172	7
17-year-old	5.371524333953857	3.386376142501831	7
teen-agers	7.464028358459473	4.119556427001953	7
sex	8.906022071838379	7.11454439163208	6
13-year-old	5.483260631561279	3.563420057296753	7
parents	8.786553382873535	2.0660452842712402	0
middle-aged	8.987293243408203	4.0332417488098145	3
twenties	9.130277633666992	4.7723822593688965	3
kids	8.110701560974121	3.029744863510132	1
college-age	7.634799480438232	4.205508232116699	7
18-year-old	5.209200859069824	3.2364587783813477	7
puberty	8.939696311950684	3.2753965854644775	5
lesbians	8.815433502197266	7.549795627593994	6
sexually	10.281861305236816	6.781487464904785	5
children	8.383174896240234	2.9747447967529297	1
schoolers	7.39450216293335	3.509416103363037	1
preteen	7.052058219909668	6.351191997528076	6
pregnant	8.454236030578613	2.409562349319458	0
teen-aged	7.109707355499268	4.5207719802856445	7
schoolgirls	7.663961887359619	7.404784679412842	6
sexual	10.051736831665039	6.7273077964782715	5
mothers	8.519659042358398	2.039249897003174	1
moms	8.35764217376709	1.9023094177246094	0
precocious	7.996190547943115	4.452914714813232	7
12-year-old	5.371523380279541	3.7125840187072754	7
woman	8.809849739074707	5.617597579956055	0
older	8.617077827453613	3.3691887855529785	1
college-aged	7.547921180725098	4.164491653442383	7
grown-up	7.832516193389893	4.127959728240967	3
preteens	6.9863057136535645	6.275777339935303	6
impressionable	7.720161437988281	4.6311163902282715	3
tweens	7.749599456787109	4.236132621765137	3
20-something	8.746461868286133	4.2950873374938965	7
school-aged	7.64523458480835	3.659205913543701	1
youthful	10.36445426940918	4.958593368530273	3
pre-pubescent	7.386332988739014	4.6781134605407715	7
gay	9.39831256866455	7.0497660636901855	6
girlfriends	8.105666160583496	1.6076065301895142	4
teen-ager	6.955818176269531	4.22752571105957	7
mom	8.450715065002441	1.5139681100845337	0
horny	8.341595649719238	8.171582221984863	4
porn	8.540510177612305	7.187536239624023	6
innocent	11.660907745361328	5.791590213775635	2
year-old	5.352074146270752	3.4195773601531982	7
age	8.515600204467773	3.244358539581299	1
youngest	8.767186164855957	0.844573974609375	0
nubile	7.250671863555908	7.902087688446045	4
sexuality	9.975217819213867	6.573688507080078	5
daughters	8.708253860473633	1.2504664659500122	0
girlfriend	8.093960762023926	1.5018247365951538	0
drunk	12.302555084228516	5.33650541305542	2
chubby	7.44873571395874	8.480164527893066	4
olds	7.933506011962891	3.492366313934326	1
middle-school	7.219336986541748	3.498875379562378	7
schoolboy	7.790770053863525	4.83720064163208	7
toddlers	7.998113632202148	3.0412213802337646	1
Teenage	8.270771980285645	4.956862926483154	3
19-year-old	5.108705520629883	3.1324973106384277	7
chicks	7.757355690002441	7.872810363769531	4
blonde	7.380375862121582	8.228899955749512	4
pre-adolescent	7.343441486358643	4.439960479736328	7
naked	8.127169609069824	7.090612888336182	6
tween	7.6929731369018555	4.428846836090088	3
mature	7.668852806091309	8.317708969116211	6
Teenagers	8.236282348632812	4.865530967712402	1
overweight	12.970242500305176	4.209725856781006	1
school-age	7.691346645355225	3.5498476028442383	1
rape	11.631508827209473	6.360250949859619	6
autistic	10.302172660827637	3.5917961597442627	1
11-year-old	5.360529899597168	3.7818410396575928	7
naughty	9.149308204650879	8.056984901428223	4
mother	8.830574035644531	1.2752935886383057	0
juvenile	11.027512550354004	5.98126220703125	1
boyfriends	8.098689079284668	1.5977952480316162	0
twenty-something	8.66920280456543	4.269702434539795	7
masturbating	8.899520874023438	8.714082717895508	4
toddler	8.157698631286621	2.770216226577759	1
troubled	12.539701461791992	2.5241336822509766	2
women	8.892142295837402	5.8744425773620605	1
boyfriend	8.089895248413086	1.4608633518218994	0
sluts	8.169731140136719	8.228809356689453	4
dads	8.403613090515137	1.8030215501785278	0
female	9.041908264160156	6.0418572425842285	1
angst	12.231697082519531	3.3223307132720947	5
nudist	7.137660026550293	6.703553676605225	6
elderly	9.129638671875	3.547374963760376	1
incest	8.81606388092041	6.982942581176758	6
10-year-old	5.355364799499512	3.843005657196045	7
slutty	8.323844909667969	8.330233573913574	4
abused	11.957183837890625	6.0662150382995605	2
Teen	8.254257202148438	5.086925506591797	6
redhead	7.5380473136901855	8.159510612487793	4
bullying	11.623222351074219	5.977517127990723	5
babes	7.690492630004883	7.772535800933838	4
teenie	7.291601657867432	7.795736789703369	4
chick	7.618678569793701	8.065719604492188	4
drunken	12.142427444458008	5.290882587432861	3
daughter	8.74653434753418	1.0592836141586304	0
pornography	10.718673706054688	6.617677211761475	6
thirties	9.15059757232666	4.792213439941406	3
twenty-somethings	8.292935371398926	4.204253673553467	7
siblings	8.707148551940918	1.7722314596176147	0
college	7.275335788726807	2.8230605125427246	1
blond	7.197450160980225	8.31827163696289	4
rebellious	11.001340866088867	4.905945777893066	3
masturbation	8.85450267791748	8.508502960205078	6
emo	9.816926956176758	5.443748474121094	3
raped	12.08055591583252	6.295440673828125	0
suicidal	11.986029624938965	4.912317752838135	5
male	9.070623397827148	6.059071063995361	1
asian	8.174569129943848	7.594706058502197	6
ages	8.401349067687988	3.2902228832244873	1
hardcore	8.787991523742676	7.710992813110352	6
brunette	7.465303421020508	8.174127578735352	4
angst-ridden	10.203866958618164	4.417388439178467	3
babysitter	8.023468971252441	1.6695924997329712	0
bisexual	9.313334465026855	7.211527347564697	6
females	9.177987098693848	6.096655368804932	1
20-somethings	8.189929962158203	4.192148208618164	7
males	9.242364883422852	6.165815353393555	1
obese	12.907330513000488	4.284617900848389	1
unwed	8.968024253845215	2.1404800415039062	7
sexy	8.562345504760742	7.306894779205322	4
20-year-old	5.104581356048584	3.136833906173706	7
nude	8.175373077392578	6.986349105834961	6
erotic	8.89543628692627	7.402835845947266	6
schooler	7.08797025680542	3.5026321411132812	7
suicide	11.752396583557129	5.992150783538818	2
school	7.275190353393555	2.8348121643066406	1
violent	11.736085891723633	5.729740142822266	2
virginity	7.56501579284668	5.962517738342285	5
gang	10.658191680908203	6.157338619232178	2
angsty	10.378142356872559	4.406194686889648	3
twentysomething	8.778128623962402	4.35407829284668	7
slut	8.08017635345459	8.348123550415039	4
bullied	11.895899772644043	5.9710869789123535	2
hairy	7.44773530960083	8.529459953308105	4
infancy	8.855873107910156	3.1292848587036133	1
ten-year-old	5.742053508758545	4.227568626403809	7
shy	12.2073392868042	2.491029977798462	2
at-risk	9.166322708129883	3.664780855178833	1
housewife	7.964052200317383	8.176887512207031	4
parenting	8.788422584533691	2.2746715545654297	1
self-esteem	12.247754096984863	3.7924931049346924	5
immature	10.864127159118652	4.2283830642700195	3
