word	dim1	dim2	cluster
किशोर	2.9286108016967773	2.04056453704834	1
किशोरी	3.5567829608917236	2.8846352100372314	5
युवती	3.1857213973999023	3.4243881702423096	5
बालिका	4.084569931030273	3.565147638320923	5
उमेरका	1.4711004495620728	2.0728001594543457	3
जवान	6.101691246032715	5.739380836486816	4
उमेर	1.2074042558670044	2.19193696975708	3
युवा	3.2241158485412598	1.2151607275009155	2
बालक	3.7416422367095947	3.868410348892212	5
किशोरीको	3.7177906036376953	3.2894840240478516	5
युवक	3.4612855911254883	3.6165153980255127	5
किशोरीहरु	2.5271968841552734	1.5957976579666138	3
किशोरीलाई	3.873041868209839	3.3024089336395264	5
वर्षीय	1.7306336164474487	4.767818927764893	4
वर्षकी	2.3108153343200684	4.102452278137207	5
१८	-0.8873852491378784	5.764540672302246	0
बालबालिका	1.78076171875	1.3908751010894775	6
उमेरमा	1.2463375329971313	2.7592453956604004	5
किशोरावस्था	1.3945103883743286	2.2451696395874023	3
युवतीहरु	3.0387041568756104	1.6128759384155273	3
अध्ययनरत	1.059696912765503	0.1031903475522995	6
वर्षीया	2.250115394592285	4.213751316070557	5
विद्यार्थी	1.2298811674118042	0.12949238717556	6
स्कुले	1.7195388078689575	1.1330101490020752	6
केटा	2.5558106899261475	2.86966609954834	5
युवतीको	3.4906444549560547	3.3104546070098877	5
अविवाहित	3.341317892074585	2.308633804321289	5
किशोरीहरू	2.5795886516571045	1.592816710472107	3
ती	2.7093591690063477	6.59445333480835	2
बलात्कार	4.506296157836914	3.70165753364563	5
किशोरीले	3.7918834686279297	3.2045352458953857	5
युवतीलाई	3.658247470855713	3.294982433319092	5
महिला	3.6807456016540527	2.121042490005493	2
केटी	2.5356223583221436	2.9007110595703125	5
१७	-0.8766631484031677	5.81300687789917	0
वर्षमुनिका	1.5917490720748901	1.6806459426879883	3
विवाह	2.812368392944336	3.0268921852111816	5
कुमार	7.75947904586792	8.962892532348633	1
१६	-0.7813674807548523	5.747619152069092	0
किशोरीका	3.7213046550750732	3.3905575275421143	5
कृष्ण	7.03287935256958	9.320932388305664	1
बालिकाको	3.818881034851074	3.651683807373047	5
तरुण	4.525736331939697	8.012514114379883	1
प्रेम	2.8080153465270996	3.0921456813812256	1
समूहका	4.1964240074157715	8.512991905212402	2
प्रहरीका	5.612920761108398	5.492178440093994	4
प्रहरी	5.59232234954834	5.502992630004883	4
मुनिका	1.412967562675476	1.7726333141326904	3
वर्ष	0.5843468308448792	4.9125447273254395	0
बलात्कृत	4.009189605712891	3.2480854988098145	5
१४	-0.897625207901001	5.832221031188965	0
उमेरमै	1.2528082132339478	2.711092710494995	3
सिंह	7.974635124206543	8.342691421508789	1
जना	3.803788661956787	5.818178653717041	0
विक	6.865038871765137	7.351770401000977	1
वर्षिय	1.7887781858444214	4.516221523284912	4
युवतीहरू	2.886934757232666	1.6615997552871704	3
बालिकालाई	4.0208210945129395	3.5264339447021484	5
वर्षका	0.959966242313385	4.6036176681518555	0
उमेरको	1.2715435028076172	2.2959132194519043	3
कन्या	6.058599948883057	7.755951404571533	3
आमा	1.806761384010315	3.619586944580078	5
सानै	1.252453088760376	2.826631784439087	3
१२	-0.4860539138317108	5.749107360839844	0
हुन्	2.979315757751465	7.12790060043335	2
केटीको	2.5325543880462646	2.8721654415130615	3
साथी	2.296046018600464	3.327133893966675	5
एउटी	2.7697551250457764	3.198573350906372	5
१५	-0.772233247756958	5.3947954177856445	0
थापा	7.09312629699707	8.294402122497559	1
२१	-0.9903388023376465	5.830986976623535	0
महिलालाई	3.747741937637329	1.981078863143921	5
प्रहरीले	4.712498664855957	5.183234691619873	4
बलात्कारमा	4.385402679443359	3.592649221420288	5
किशोरहरु	2.196587324142456	1.3812472820281982	3
किशोरकिशोरी	2.341017484664917	1.3225058317184448	3
बस्नेत	6.993344306945801	8.247000694274902	1
पक्राउ	4.671080589294434	5.08553409576416	4
दुर्गा	6.8298726081848145	9.376734733581543	1
विवाहित	3.2309954166412354	2.297041893005371	5
अर्जुन	7.5824198722839355	9.238534927368164	1
बर्षीय	1.770574927330017	4.55844259262085	4
किशोरले	3.712766170501709	3.4555294513702393	5
रहेका	3.127023458480835	7.273341655731201	2
उमेरदेखि	1.22133469581604	2.7627744674682617	3
२२	-1.0874664783477783	5.679966449737549	0
हवल्दार	6.017341613769531	5.687924861907959	4
निरीक्षक	5.924243927001953	5.68539571762085	4
किशोरीहरूको	2.7188029289245605	1.7845027446746826	3
गाउँकै	2.131021499633789	5.007955551147461	5
साउद	6.988471031188965	7.401027202606201	1
संलग्न	4.718681812286377	4.817963600158691	4
भएकी	2.6914279460906982	4.38191556930542	5
गर्भवती	3.5306365489959717	1.9386682510375977	5
युवाको	3.25696063041687	1.1709710359573364	3
बलात्कारको	4.488735198974609	3.6106743812561035	5
परेका	3.6746912002563477	5.493346214294434	4
यौन	4.377376556396484	3.30885910987854	5
वर्षभन्दा	1.185436725616455	2.2391746044158936	3
वर्षसम्मका	1.4714207649230957	1.7058422565460205	3
तन्नेरी	2.4186151027679443	2.0623533725738525	3
बालकको	3.6998016834259033	3.9222774505615234	5
किशोरको	3.669844388961792	3.6401491165161133	3
थिइन्	2.7795767784118652	4.500377655029297	5
१३	-0.8014326095581055	5.8280110359191895	0
एकजना	3.8179049491882324	5.941609859466553	4
२०	-0.8676519989967346	5.253202438354492	0
बाल	1.7863658666610718	1.317214012145996	6
बिहे	2.6669869422912598	3.085693597793579	5
यादव	8.07690143585205	7.785241603851318	1
बालबालिकालाई	1.6730968952178955	1.1624995470046997	6
भएका	2.9199163913726807	7.111015796661377	2
वर्षिया	2.0687501430511475	4.298127174377441	5
अपहरण	4.336930274963379	4.035504341125488	4
छोरी	2.0669350624084473	3.585329294204712	5
वयस्क	1.7381834983825684	2.339078903198242	3
प्रहरीमा	5.315778732299805	5.517879962921143	4
महिलामा	3.62361741065979	1.911177635192871	5
हराएका	3.4843077659606934	5.012147903442383	4
बेपत्ता	4.083846092224121	4.818731784820557	4
धामी	7.050705909729004	7.305727958679199	1
२८	-1.1143659353256226	5.723037242889404	0
छोरा	1.8401885032653809	3.553825855255127	5
पढ्ने	1.0124118328094482	0.07196785509586334	6
शिक्षक	0.9530330896377563	-0.1574403941631317	6
सक्रिय	2.8252711296081543	6.931105613708496	2
चन्द्र	7.07175874710083	9.047463417053223	1
बिक	6.820340633392334	7.256494045257568	1
किशोरलाई	3.7885401248931885	3.6116421222686768	5
।	1.9743293523788452	7.562134742736816	2
मनोज	7.814186096191406	9.235393524169922	1
थिए	2.9724416732788086	7.109802722930908	2
अल्लारे	2.2370283603668213	2.468362331390381	3
निर्मला	5.0293707847595215	3.9639806747436523	5
२६	-1.0885283946990967	5.772170543670654	0
निवासी	1.7473304271697998	4.749128341674805	4
बालकलाई	3.8032689094543457	3.6751694679260254	5
१०	-0.5104314088821411	5.627325057983398	0
प्रौढ	1.8993982076644897	2.041027307510376	3
मृत	3.066904306411743	4.863166332244873	4
११	-0.44057193398475647	5.811111927032471	0
कलिलो	1.2849408388137817	2.690333604812622	3
केटाकेटी	1.914211392402649	1.442136287689209	3
राम	7.135953903198242	9.247693061828613	1
बालबालिकाको	1.6967025995254517	1.202815294265747	6
बाबु	1.6438225507736206	3.539344549179077	5
गणेश	6.9682230949401855	9.288187026977539	1
युवतीले	3.4446933269500732	3.1420111656188965	5
प्रधान	7.040771484375	8.293482780456543	1
छन्	3.041260004043579	7.119588375091553	2
अर्थात्	0.7048998475074768	6.044871807098389	0
देखि	-0.6036295890808105	5.517788410186768	0
हत्या	4.732952117919922	4.251597881317139	4
गते	-0.30267301201820374	7.693413257598877	0
युवायुवती	2.7701737880706787	1.2564619779586792	3
१९	-0.7578368782997131	5.976722240447998	0
महिलाको	3.714792490005493	1.9688537120819092	5
पौडेल	6.04414701461792	8.653155326843262	1
बच्चा	2.0347771644592285	3.0648069381713867	5
युवकको	3.5699684619903564	3.5909876823425293	5
अमर	7.531161308288574	8.974238395690918	1
फरार	4.817427635192871	4.785279273986816	4
